logFC	AveExpr	t	P.Value	adj.P.Val	B	Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	Cluster	Alpha
4.40088229015602	-1.61444955167756	31.4815397464104	9.4354475276309e-112	8.11448487376257e-110	244.644453833462	AC007384.1	1.67693813710866e-27	2.38671603758948	0.24	0.041	1.9553098678687e-23	B lineage	B lineage	1
4.35133149498392	-1.48173875548699	31.3251504426563	4.02256317545565e-111	3.35765714468916e-109	243.19819411638	AC116158.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.30170339866551	-1.84076947783851	26.9673698586202	4.47317052407836e-93	1.78800816159639e-91	201.737613844182	AC025569.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.29184081825754	-1.14862591759642	32.7262815341242	1.0207554212819e-116	1.07292736503631e-114	256.05284129397	AL121672.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.27427029159026	-1.59495160394456	30.6731484436814	1.75310442621502e-108	1.38203065599951e-106	237.134796746863	AC012076.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.21994988793519	-1.01380634721523	26.5280303272226	3.30978326729627e-91	1.25242198834491e-89	197.432091671929	AC068587.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.216023690305	-1.21652189787475	30.0625904847774	5.43744203905926e-106	3.85786512671255e-104	231.411025174765	AL121933.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.17833246570285	-1.91955480142369	26.2896532889397	3.44686313588845e-90	1.16454733091088e-88	195.105779420046	AC018797.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.16181154200638	-1.89621136290427	29.1488957715477	3.15881223212752e-102	1.94884980756041e-100	222.763472064878	AC138028.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.15761837390922	-1.07827774557569	27.2509033010276	2.81055697284983e-94	1.17299421896291e-92	204.490875397569	LINC01410	2.11111303867069e-22	2.59715586644882	0.19	0.025	2.46155780309002e-18	monocyte/macrophage	monocyte/macrophage	1
4.13566931245867	-2.22575052819983	32.5293268765832	6.15371781913605e-116	6.02215557610624e-114	254.253914749143	AC083806.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.0893767512715	-2.13162437472038	24.8104374525618	7.99333621614694e-84	2.04370163796622e-82	180.47953405009	AC027279.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.03478642755239	-1.8111722290889	29.9725051556615	1.27244877114944e-105	8.59811812505263e-104	230.562451618328	AC078795.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.01512989668317	-1.81305952241777	30.5725075855679	4.49966635947606e-108	3.36054029689291e-106	236.193711189938	AC093690.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.00948571648284	-2.13990827272801	26.5074807023023	4.04977739478441e-91	1.51227213768397e-89	197.243435121016	AL162724.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.00004054071735	-2.33302591886004	27.2513568524523	2.79816148495351e-94	1.17299421896291e-92	204.505847786817	AL109614.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.99242614645055	-1.38545577781691	25.5088687464505	7.70543734426734e-87	2.27791991489903e-85	187.406029104546	AL031595.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.96801040398424	-2.11260333833718	19.4165109207914	4.00948119074569e-60	4.23007718190939e-59	126.012097961937	EGOT	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.96507991396049	0.447282010716025	34.4847090256693	1.36808521906559e-123	1.76482993259461e-121	271.856312858321	AC006059.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.96354800003977	-2.30488251360047	29.3500134850806	4.6492583461113e-103	2.93213226361419e-101	224.675207543198	AC092428.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.92827191197527	-2.26456211654899	26.5731369326786	2.12574043681948e-91	8.15250183742389e-90	197.887620767319	AL442003.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.91839107340425	-1.25839329938985	27.8320794819512	9.92357773247275e-97	4.61690386963241e-95	210.131807993479	AC087521.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.88863699354315	-2.13817905800911	19.772684012464	1.06936982084646e-61	1.23872308227031e-60	129.639990159494	AC005481.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.84489074634555	0.0406798534466114	28.6740581699544	2.96566598201053e-100	1.68331201138918e-98	218.21744581855	Z95331.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.84320652605901	-0.743357089514573	18.8252605536626	1.63328842791916e-57	1.54509085281153e-56	120.000587216662	AL138689.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.83535323742446	-2.3629881399414	27.0027501677137	3.16558185320757e-93	1.28341732848616e-91	202.085464107995	AC104841.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.83436021449949	-1.68764073266422	25.4357243450986	1.59146258562101e-86	4.65625857524991e-85	186.683906102025	AL662884.5	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.82652155235241	-1.40150416227213	25.3349066480146	4.32817111574163e-86	1.2407423865126e-84	185.684118531744	AL031714.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.80786489289554	2.11548112432831	23.950255276244	4.36905208489778e-80	1.05977519802905e-78	171.782671974551	MIRLET7BHG	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.79046464380594	-2.00180025227447	29.7053240048556	1.59295639336238e-104	1.02745687371873e-102	228.04092514584	AC016949.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.78819393158011	-0.883724942055653	36.1891219919917	4.31510586114253e-130	6.80348357440138e-128	286.771634986548	AL162171.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.78434362464469	-0.10890232968475	43.284557915498	1.75340581974563e-155	4.52378701494371e-153	345.09050554444	AC005070.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.7750440773452	3.22300349492092	22.3356672939213	5.16917718943243e-73	9.11047704809305e-72	155.480800796781	MIR29B2CHG	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.76734159334128	-1.82386915623772	30.9189744847452	1.76233741375412e-109	1.42900388006691e-107	239.425617367429	AC007622.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.76519438618718	-1.51355912401953	26.0778619931522	2.77673533478039e-89	8.95497145466675e-88	193.021531776782	AL031768.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.74791478365804	-0.853976091934792	26.3847728123398	1.3523093882339e-90	4.7380914121084e-89	196.030372167006	AL121672.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.73849568396376	-0.244236542247956	25.9779437249928	7.44136083903596e-89	2.37287438889709e-87	192.015710996173	AL445309.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.73570317375405	-1.39753172295542	27.9116345510379	4.59425490521731e-97	2.24801645189771e-95	210.900217525518	AC108053.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.72987848409702	-1.51577158880008	26.5022387480776	4.26371085344205e-91	1.57148200026864e-89	197.188911217723	AF131216.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.72176332269478	-0.155679482764021	32.8282810519995	4.03350017253304e-117	4.40272057294184e-115	256.986207324937	AL031666.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.71386673594158	-2.32581934646199	23.1282166596078	1.71118814808088e-76	3.65139245432598e-75	163.639871653814	AC016026.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.70178081836502	-1.99469574471643	19.6972387011167	2.30460657188417e-61	2.63728768185777e-60	128.878854584274	AL109615.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.69780380163147	-1.9871341590674	23.5373494461909	2.77164372359542e-78	6.3950608841982e-77	167.752073716712	AL445931.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.69720595636946	-2.26717857924831	21.1606157806709	7.84016127552583e-68	1.11810943215791e-66	143.740650249041	AP001469.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.68330589291677	-1.41456456620398	18.10122889072	2.5178405131355e-54	2.13941059170016e-53	112.698342559792	AC016831.1	5.93746112610998e-14	1.93536018843856	0.104	0.028	6.92307967304423e-10	NK/T	NK/T	1
3.66859731858969	-2.19222367426759	20.7715430931812	4.10545246116543e-66	5.60157407922476e-65	139.788279988721	LINC02362	3.99266838826566e-47	3.20488985053565	0.154	0.006	4.65545134071776e-43	B lineage	B lineage	1
3.65818339718801	-1.92248332913253	22.6013705894328	3.50881937383939e-74	6.46625284607545e-73	158.324634801437	AC118344.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.62203891974547	-0.224202090983654	32.8740501347797	2.66025518339136e-117	3.01992168418587e-115	257.401421787923	AL133227.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.62106889674438	-0.0863244181610888	29.977599605484	1.21268470712779e-105	8.39414438738696e-104	230.60530361082	AC026748.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.61668019542916	0.820907353153445	30.5340822595931	6.45089618803177e-108	4.69426753375235e-106	235.822638356158	AC022150.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.60702941118052	-2.45708782518093	22.9092173440813	1.56135874532252e-75	3.12051839382064e-74	161.434381527503	AL589935.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.59397522946231	-2.1847302619273	22.6932632116014	1.38505510413477e-74	2.63811166814395e-73	159.255383141278	AL513327.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.57121908489033	-0.772413180306263	21.284945034035	2.21450941998063e-68	3.23957615149744e-67	144.973961396566	AC124944.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.54387628080506	-1.75394004331681	20.3097549860435	4.51595580818898e-64	5.72155472483943e-63	135.094134268821	AC016831.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.52388550932857	-1.6089257661677	21.1919825356409	5.69891951966676e-68	8.16845131152236e-67	144.050556829753	AC073592.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.44826216055016	-0.743122962244345	23.105029460127	2.16225257956976e-76	4.54553542282887e-75	163.381895964012	AL133230.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.42462897052798	-1.58052046356698	25.072888048799	5.85240768150628e-85	1.58182219048713e-83	183.087673504113	AC008119.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.41144576662353	-1.63195085966718	19.9739661004934	1.37827736866566e-62	1.65743693740387e-61	131.684508790943	AC015971.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.4003747984239	0.182178646922903	22.6455475706456	2.24421229858077e-74	4.2179301346836e-73	158.713911305306	AC012459.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.39246444833696	-1.84665996753589	18.996760772696	2.86075188075575e-58	2.78041569780302e-57	121.771024441784	AC253536.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.34049076124237	-1.89676490035983	22.9308650851842	1.25468936916034e-75	2.5617326832209e-74	161.649596567463	AC004943.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.33902663255488	-2.21973236744352	26.1404586693525	1.49807787614305e-89	4.94365699127205e-88	193.642380649556	AC009228.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.32189219867156	-0.406616311149925	27.7992132812527	1.36434823920903e-96	6.24519403689552e-95	209.803876411511	PRR34	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.32032994508061	-0.0699648847101417	25.0695060476656	6.05270914343163e-85	1.62052722160934e-83	183.021382768245	AC010300.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.31033902316544	-0.295791008269083	27.1673785318686	6.34542674285266e-94	2.60990160814722e-92	203.669359941302	AC099343.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.30996533591893	1.27168052631418	31.6152188061442	2.73839702802605e-112	2.42861586423061e-110	245.869713118997	DLEU1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.30650338922378	-2.3019488666167	26.4572461532371	6.633243801432e-91	2.38292986183089e-89	196.752912099087	AC018462.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.30628248599945	0.807409705322615	25.1377907573162	3.06859674599283e-85	8.5379191814977e-84	183.672167174639	CYTOR	6.78928209027581e-34	2.73142081583049	0.398	0.186	7.91630291726159e-30	NK/T	NK/T	1
3.29198820471174	-1.66004633296469	15.1588683953086	1.41430068913133e-41	7.82414299367392e-41	83.4273189399399	LINC00839	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.28285996270064	-2.02154655988053	15.6054098215484	1.76564426875215e-43	1.05938656125129e-42	87.8106397404522	AL160272.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.27880735348603	0.949918632640612	26.4451721804799	7.46875133018504e-91	2.64953953438314e-89	196.5817272129	JPX	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.26325232249767	-1.35922708968335	22.7361286311826	8.97879943788301e-75	1.74533101402137e-73	159.678696958067	AL359922.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.25795621676716	-2.34342077904312	25.8260707737741	3.33540340328571e-88	1.04020602840932e-86	190.547006576363	AL080276.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.25409287269387	-1.12653743893601	26.2956814697923	3.24833371417471e-90	1.11069531094311e-88	195.157601609165	AL138820.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.24643348278775	1.09301572177042	27.630236372668	7.02332267516435e-96	3.16383964319308e-94	208.136694195268	DLEU2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.24217237138271	-1.79280849762433	18.0792696040158	3.14432401665124e-54	2.64795001758345e-53	112.489517544816	MIR503HG	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.24055098721873	-1.77967668524559	21.5506732193278	1.48721263845429e-69	2.29386384126809e-68	147.693220475491	AC090739.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.22095461270361	-2.1431663182726	26.6491765184213	1.00820722737008e-91	3.91957823462504e-90	198.632034653353	AC131934.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.21408852845417	-0.826862057008691	22.0317221467587	1.1258976671333e-71	1.86859507562825e-70	152.541630903959	AC012020.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.20750737916534	2.04567443699597	25.4075365052581	2.10495483574338e-86	6.095777371265e-85	186.314553799999	AC003681.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.20441007681359	-2.15801750490853	18.7501810081905	3.50051405535962e-57	3.23598009417283e-56	119.279034727292	AL390957.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.1899134440982	-2.28834201593039	18.7509857636889	3.47203190456623e-57	3.2201393938428e-56	119.289117934635	AC017028.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.18464759660051	-2.27308055055931	22.2158579063463	1.74045950056508e-72	2.99359034097193e-71	154.434970216066	AC132938.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.18432330719066	-1.23494767761653	21.6163979284443	7.62788273580774e-70	1.20266284467902e-68	148.349858677259	AC138393.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.18431937327053	-1.33755646876179	21.987523625258	1.76284159696501e-71	2.89187540588827e-70	152.110161300239	TTTY10	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.17954310588384	0.120718008799215	25.7649550585961	6.10348775737753e-88	1.8625481995094e-86	189.905486319579	AP000866.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.17384279628054	-1.17214741918234	22.5962777762735	3.69436348871953e-74	6.76426037482969e-73	158.263403237846	AL355377.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.16126544565394	-0.713538508073773	11.8306170191254	5.24311398521392e-28	1.82800460565566e-27	52.3052985257718	AC002064.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.15303055197905	-2.10550244429302	20.5502636859782	3.90356215171929e-65	5.08179329659603e-64	137.546256374288	AC025442.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.15167295156862	-2.30625459431409	19.0956691392131	1.04699739686985e-58	1.04258898677777e-57	122.782042340509	AC004494.1	2.37696697690398e-29	2.57687455781148	0.117	0.01	2.77154349507005e-25	NK/T	NK/T	1
3.136632160374	-2.32820556693363	22.1676103837625	2.83832075318593e-72	4.85250258888052e-71	153.947525200739	AP001001.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.1290992471072	-0.928717977326221	22.9268408835712	1.30673988622552e-75	2.64894842650573e-74	161.59124628418	AC106820.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.12776441468018	0.289841138252277	27.4987609812696	2.51846695582204e-95	1.11678269072234e-93	206.878297626423	AC022893.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.12530630307381	-0.740132981944052	23.7222099892028	4.31719023149684e-79	1.021015489749e-77	169.587611391045	LINC00624	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.1247992804154	-1.51696278870947	23.3318153479517	2.19633155905783e-77	4.83192942992722e-76	165.678485237015	AC006460.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.12273819702052	-2.67542929832135	19.5030249582299	1.66287774469998e-60	1.83628289473095e-59	126.909066938276	AL049775.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.12105404200604	-2.41535046531469	16.5356901310333	1.7343928666002e-47	1.18322282582004e-46	97.0206272407326	AC018445.5	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.11787812326404	1.32249470858468	32.175599431273	1.5690079010527e-114	1.4364014268347e-112	251.025219238682	LINC00630	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.11454973288168	-2.18503984962594	21.5047226772679	2.37210800145703e-69	3.63894189628921e-68	147.231447616961	AC103858.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.10543267575232	-1.62085209234549	20.762902374218	4.48280863357089e-66	6.08718224979626e-65	139.683313426534	AL512625.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.09900692962605	-0.860501341367	13.9091183378161	2.45663139613147e-36	1.13364551255628e-35	71.3912700335503	AC012531.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.09082785338228	-2.24124286875063	20.0168083029693	8.91108950774366e-63	1.09479099666565e-61	132.129771104601	AL162274.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.08350621972886	-1.92469333064071	21.3783544843685	8.56803310381342e-69	1.27979357624329e-67	145.944182170712	AL157394.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.08160074554373	-1.98056094945384	18.9226138450965	6.07629318276212e-58	5.80623570797269e-57	121.021981178354	AC090181.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.07966434341218	-1.86363790064673	18.7056377209623	5.50177303753775e-57	5.03678447759101e-56	118.823691657355	AL121672.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.07451253105561	-2.43820469439122	17.2301112106056	1.65090778597333e-50	1.22651211952678e-49	103.959947464975	AC027682.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.06821013843597	-1.58302854732951	13.0738436029093	6.3680438077816e-33	2.61920410528756e-32	63.6015209758157	MIR924HG	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.06748434057465	-0.788590821391338	20.34800691769	3.05935768151875e-64	3.89347852024673e-63	135.451675466219	LINC00954	2.11153075003463e-22	2.73514216322463	0.117	0.019	2.46204485454038e-18	NK/T	NK/T	1
3.06746540189641	-0.24345329348753	25.275831635614	7.7819017016921e-86	2.18663732964378e-84	185.075218377892	GHRLOS	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.06197881339861	-2.50213639041347	19.4504708073198	2.83829537013619e-60	3.03965368318736e-59	126.38300376006	AC012254.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.05964745661712	-1.57910358165001	27.3190544794137	1.4469437869784e-94	6.22185828400712e-93	205.162556232626	AC016394.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.05784238188131	-1.48805889642868	20.7101250057148	7.67039887273212e-66	1.03168682468312e-64	139.156280983111	AC008147.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.0553828751561	-0.491669445939999	25.0537127542876	7.08281044782076e-85	1.87859963092667e-83	182.877531691069	AC092645.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.04657014077521	-1.32498403896386	24.4731077384513	2.32053176021514e-82	5.88006172811657e-81	177.114236064281	AC139887.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.04153640158414	0.815199136826824	26.1235544943581	1.76966802771156e-89	5.77277915246597e-88	193.419351154124	DNM3OS	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.03431244560785	-2.29341248553426	19.4665512293587	2.4099762113256e-60	2.60057509039622e-59	126.544658105971	AL139423.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.03278579544211	-2.18417909746462	18.6226540348153	1.2771536377258e-56	1.15800703637886e-55	117.989696126025	AC016590.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.02910481730358	-1.96691309038069	22.7688276939176	6.45125147561281e-75	1.27143414498536e-73	160.018012190876	AC073349.4	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.02367097754716	-2.42263479553921	15.3509569088386	2.15496283619858e-42	1.23551202608718e-41	85.3263763350793	AC008957.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.00707396601277	-1.42445356462541	25.3116901071339	5.4502719488864e-86	1.54678717909396e-84	185.454229360988	AL078459.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.00536210579707	-0.952535655522292	19.9061532314655	2.7487031462645e-62	3.27765526432716e-61	130.978680411579	AL117344.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
3.00202100896636	-1.98551478114912	19.9998663961448	1.05884324416532e-62	1.28969833774299e-61	131.940449493776	AC087392.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.99993054443854	-2.28704961912764	20.5335000273186	4.62986440549908e-65	5.9997968871262e-64	137.378505279779	AC068790.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.99309249706597	0.349214150655381	26.275207577632	3.97345811719212e-90	1.32666754548132e-88	194.927054869043	AL513327.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.9862386266421	-2.34891293538976	21.3144001858759	1.64143879684776e-68	2.42625172159059e-67	145.305470202043	AC073046.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.97457202305477	0.00828902877690956	16.7361752072591	2.33950791617132e-48	1.62733418286623e-47	98.9281635897139	AC092053.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.97208374367008	-1.87391372798517	17.0651096633258	8.66127073495491e-50	6.3091835744875e-49	102.298867322629	FAM157C	2.11919704290644e-41	2.36328619399826	0.672	0.115	2.47098375202891e-37	neutrophil	neutrophil	1
2.97098928243841	-1.96472336544338	22.0208490629926	1.2571777512639e-71	2.07434328958544e-70	152.459696285665	AC010285.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.97026665050217	-1.56535112525215	22.4499477998058	1.62468606841015e-73	2.9182652292076e-72	156.793273316034	AC007216.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.96713639253857	-2.23737313388296	24.386235515152	5.53270655677259e-82	1.38954169983368e-80	176.256763202686	AC080162.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
2.96529488020381	-2.45610299668634	19.6825396888523	2.67647313646418e-61	3.05053444228327e-60	128.739369477336	AC006017.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
